REF_DATE,GEO,DGUID,Estimate,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,798.54,,,,2
2008-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,798.27,,,,2
2008-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,803.74,,,,2
2008-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,805.49,,,,2
2008-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,809.31,,,,2
2008-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,808.84,,,,2
2008-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,809.76,,,,2
2008-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,811.19,,,,2
2008-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,811.77,,,,2
2008-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,813.47,,,,2
2008-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.1,,,,2
2008-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.74,,,,2
2008-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,813.43,,,,2
2009-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,815.94,A,,,2
2009-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.61,A,,,2
2009-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,820.06,A,,,2
2009-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,817.66,A,,,2
2009-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.15,A,,,2
2009-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,821.22,A,,,2
2009-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,822.33,A,,,2
2009-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,821.93,A,,,2
2009-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,827.11,A,,,2
2009-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,825.38,A,,,2
2009-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,828.15,A,,,2
2009-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,833.11,A,,,2
2010-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,834.36,A,,,2
2010-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,841.54,A,,,2
2010-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,842.01,A,,,2
2010-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,845.79,A,,,2
2010-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,847.06,A,,,2
2010-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,850.35,A,,,2
2010-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,853.54,A,,,2
2010-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,858.61,A,,,2
2010-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,864.38,A,,,2
2010-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,860.08,A,,,2
2010-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,863.8,A,,,2
2010-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,866.32,A,,,2
2011-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,872.72,A,,,2
2011-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.85,A,,,2
2011-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.39,A,,,2
2011-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.22,A,,,2
2011-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,871.56,A,,,2
2011-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.5,A,,,2
2011-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,868.95,A,,,2
2011-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,872.67,A,,,2
2011-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,872.48,A,,,2
2011-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,881.94,A,,,2
2011-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,880.37,A,,,2
2011-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,881.02,A,,,2
2012-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,885.08,A,,,2
2012-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,881.2,A,,,2
2012-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,887.13,A,,,2
2012-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,889.77,A,,,2
2012-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,890.16,A,,,2
2012-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,893.89,A,,,2
2012-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,900.66,A,,,2
2012-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,904.38,A,,,2
2012-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,902.66,A,,,2
